epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5424,1.53349,2.75481,1.6868,0.22058,0.33333,0.15696,0.05443,2.39994,4.0322,2.95413,0.00065625,0.00065625,0.00065625
2,71.1495,1.66318,1.59345,1.77981,0.0095,0.20596,0.0047,0.00142,3.38119,91.0489,7.31376,0.00130982,0.00130982,0.00130982
3,105.285,1.69584,1.59831,1.79512,0.00852,0.14634,0.00445,0.00115,3.42848,16.6463,5.17029,0.00195019,0.00195019,0.00195019
4,139.463,1.67612,1.56556,1.8096,0.39133,0.34146,0.29396,0.10963,2.58152,3.86955,3.08229,0.0019406,0.0019406,0.0019406
5,172.657,1.64984,1.50795,1.77836,0.54042,0.56098,0.44574,0.18465,2.23796,1.86703,2.83707,0.0019208,0.0019208,0.0019208
6,207.769,1.58719,1.44127,1.71266,0.64167,0.55014,0.55863,0.25471,1.99029,2.04828,2.38549,0.001901,0.001901,0.001901
7,240.696,1.54445,1.3839,1.66353,0.65448,0.59892,0.55379,0.27083,2.01272,1.66931,2.42202,0.0018812,0.0018812,0.0018812
8,275.133,1.53575,1.34022,1.66031,0.66191,0.49051,0.53924,0.21601,1.97901,2.27232,2.18034,0.0018614,0.0018614,0.0018614
9,309.72,1.45857,1.25175,1.59435,0.60529,0.5935,0.58473,0.26656,1.94985,1.7292,2.1733,0.0018416,0.0018416,0.0018416
10,342.686,1.4896,1.26097,1.62177,0.67743,0.59758,0.60324,0.28801,1.90691,1.57293,2.26295,0.0018218,0.0018218,0.0018218
11,378.503,1.43412,1.228,1.57967,0.63137,0.49322,0.53414,0.23136,1.97177,1.94253,2.14608,0.001802,0.001802,0.001802
12,412.027,1.40954,1.22115,1.55954,0.72735,0.54743,0.56094,0.25897,2.06625,1.77456,2.49885,0.0017822,0.0017822,0.0017822
13,446.895,1.41049,1.18953,1.5567,0.77184,0.6234,0.70471,0.36342,1.75761,1.37654,1.94116,0.0017624,0.0017624,0.0017624
14,480.589,1.38436,1.0823,1.53615,0.72907,0.68551,0.69155,0.38318,1.69743,1.39653,2.0038,0.0017426,0.0017426,0.0017426
15,514.718,1.37907,1.09752,1.53609,0.82382,0.68431,0.76266,0.36973,1.82057,1.13738,1.9928,0.0017228,0.0017228,0.0017228
16,549.948,1.39545,1.09798,1.54757,0.73554,0.69345,0.74334,0.38241,1.8323,1.38743,2.04125,0.001703,0.001703,0.001703
17,583.587,1.33745,1.05607,1.49472,0.8721,0.55436,0.66608,0.36774,1.84675,1.48814,2.12315,0.0016832,0.0016832,0.0016832
18,617.676,1.31926,1.01668,1.48517,0.76869,0.69106,0.71218,0.38261,1.85266,1.31141,2.07582,0.0016634,0.0016634,0.0016634
19,651.103,1.32014,1.0073,1.48261,0.78233,0.72077,0.7354,0.43811,1.61943,1.14367,1.80086,0.0016436,0.0016436,0.0016436
20,685.35,1.32351,0.99768,1.49037,0.80481,0.68293,0.74196,0.43075,1.54005,1.24816,1.76065,0.0016238,0.0016238,0.0016238
21,720.306,1.3291,0.97199,1.47441,0.67629,0.49593,0.57926,0.25869,2.11389,1.58771,2.22374,0.001604,0.001604,0.001604
22,754.079,1.29723,0.97056,1.45913,0.85125,0.7444,0.84037,0.40101,1.79265,1.03738,1.92616,0.0015842,0.0015842,0.0015842
23,789.144,1.27615,0.93588,1.44313,0.803,0.73171,0.7889,0.43171,1.68262,1.11392,1.83289,0.0015644,0.0015644,0.0015644
24,822.376,1.26575,0.9451,1.43382,0.8235,0.78396,0.84823,0.47328,1.59107,0.96309,1.78029,0.0015446,0.0015446,0.0015446
25,856.562,1.24761,0.89734,1.43154,0.89234,0.66938,0.80144,0.41282,1.71672,1.09395,1.96153,0.0015248,0.0015248,0.0015248
26,890.713,1.24915,0.87266,1.42246,0.84724,0.76654,0.83689,0.45961,1.64595,0.94516,1.86046,0.001505,0.001505,0.001505
27,923.846,1.25044,0.86842,1.43489,0.88808,0.70961,0.82117,0.43755,1.67681,1.0373,1.83644,0.0014852,0.0014852,0.0014852
28,957.96,1.22789,0.85265,1.41248,0.80142,0.73984,0.75627,0.44912,1.56988,1.09276,1.77788,0.0014654,0.0014654,0.0014654
29,991.001,1.25696,0.88891,1.42643,0.82384,0.81115,0.86471,0.48938,1.51816,0.93597,1.69071,0.0014456,0.0014456,0.0014456
30,1024.28,1.20963,0.87188,1.41062,0.75974,0.72842,0.73436,0.42843,1.67003,1.22869,1.98629,0.0014258,0.0014258,0.0014258
31,1058.52,1.21774,0.86006,1.41323,0.79807,0.79258,0.82428,0.46349,1.57879,1.02954,1.77493,0.001406,0.001406,0.001406
32,1091.4,1.21904,0.8608,1.40587,0.80342,0.74255,0.81343,0.44304,1.72236,1.02974,1.95639,0.0013862,0.0013862,0.0013862
33,1125.69,1.18498,0.8162,1.38523,0.89063,0.79404,0.88243,0.47262,1.62424,0.8309,1.77677,0.0013664,0.0013664,0.0013664
34,1159.82,1.22372,0.81126,1.40633,0.87304,0.72676,0.84461,0.43607,1.68073,0.99251,1.82974,0.0013466,0.0013466,0.0013466
35,1193.33,1.19772,0.81969,1.38852,0.80983,0.7561,0.81541,0.48672,1.62947,0.99101,1.85757,0.0013268,0.0013268,0.0013268
36,1227.47,1.18297,0.7933,1.3847,0.88064,0.77507,0.86898,0.47953,1.59143,0.92334,1.81386,0.001307,0.001307,0.001307
37,1260.56,1.16841,0.76551,1.36316,0.88512,0.85637,0.89593,0.51963,1.5315,0.76238,1.72483,0.0012872,0.0012872,0.0012872
38,1293.8,1.18857,0.78447,1.37076,0.86339,0.85908,0.89312,0.50979,1.51016,0.7841,1.72774,0.0012674,0.0012674,0.0012674
39,1328.44,1.17118,0.77218,1.35772,0.84738,0.75068,0.84507,0.49455,1.59817,0.90672,1.78176,0.0012476,0.0012476,0.0012476
40,1361.24,1.13049,0.76285,1.34805,0.90387,0.78992,0.88457,0.46879,1.58133,0.84617,1.72304,0.0012278,0.0012278,0.0012278
41,1395.3,1.16132,0.76551,1.35485,0.90957,0.78862,0.87177,0.47716,1.59242,0.80977,1.74526,0.001208,0.001208,0.001208
42,1429.26,1.14008,0.74315,1.35229,0.87726,0.79412,0.8702,0.51202,1.58717,0.83012,1.74565,0.0011882,0.0011882,0.0011882
43,1462.58,1.12957,0.72781,1.34973,0.85168,0.83469,0.88108,0.52189,1.53891,0.83236,1.69269,0.0011684,0.0011684,0.0011684
44,1497.1,1.10961,0.7286,1.3352,0.86799,0.79133,0.86862,0.51399,1.4972,0.81773,1.72311,0.0011486,0.0011486,0.0011486
45,1530.83,1.13173,0.73345,1.3378,0.86801,0.81843,0.88034,0.52768,1.48267,0.79812,1.70656,0.0011288,0.0011288,0.0011288
46,1564.8,1.12356,0.74045,1.33938,0.82233,0.80759,0.84072,0.47032,1.63745,0.84673,1.85984,0.001109,0.001109,0.001109
47,1598.84,1.09524,0.72627,1.30867,0.90638,0.79404,0.88224,0.49932,1.55719,0.7906,1.75962,0.0010892,0.0010892,0.0010892
48,1631.97,1.1036,0.71963,1.31602,0.90869,0.80907,0.89097,0.52208,1.4947,0.80576,1.64616,0.0010694,0.0010694,0.0010694
49,1666.53,1.0763,0.71052,1.29966,0.88966,0.8645,0.90991,0.5543,1.41695,0.72241,1.60089,0.0010496,0.0010496,0.0010496
50,1699.73,1.0706,0.67692,1.30014,0.86778,0.8103,0.87639,0.49295,1.59638,0.80049,1.85373,0.0010298,0.0010298,0.0010298
51,1733.38,1.07352,0.68219,1.29023,0.91798,0.79675,0.88662,0.51996,1.45155,0.75612,1.64017,0.00101,0.00101,0.00101
52,1768.33,1.0892,0.68603,1.31208,0.89294,0.80488,0.88909,0.5282,1.53398,0.83467,1.68538,0.0009902,0.0009902,0.0009902
53,1801.72,1.05544,0.66438,1.29648,0.89914,0.81843,0.90176,0.53937,1.46422,0.75843,1.63278,0.0009704,0.0009704,0.0009704
54,1836.26,1.07191,0.69634,1.31319,0.91945,0.84553,0.90479,0.53592,1.47527,0.71714,1.66789,0.0009506,0.0009506,0.0009506
55,1870.33,1.04023,0.65934,1.2797,0.88619,0.82385,0.88004,0.50537,1.58009,0.81673,1.79468,0.0009308,0.0009308,0.0009308
56,1903.6,1.0539,0.64295,1.29644,0.88071,0.84824,0.87896,0.50227,1.56521,0.79377,1.73442,0.000911,0.000911,0.000911
57,1938.46,1.04209,0.65102,1.28039,0.91133,0.8356,0.91823,0.5272,1.49347,0.71682,1.6597,0.0008912,0.0008912,0.0008912
58,1971.85,1.06267,0.68197,1.30407,0.87577,0.85637,0.90692,0.5181,1.50755,0.74769,1.67982,0.0008714,0.0008714,0.0008714
59,2006.91,1.06129,0.66942,1.28578,0.88559,0.84282,0.88902,0.51849,1.5338,0.77269,1.71567,0.0008516,0.0008516,0.0008516
60,2040.28,1.02536,0.63482,1.26769,0.90837,0.87263,0.91006,0.53099,1.50543,0.75868,1.72507,0.0008318,0.0008318,0.0008318
61,2074.13,1.03558,0.63941,1.28564,0.90282,0.80567,0.88913,0.52157,1.52457,0.78085,1.73066,0.000812,0.000812,0.000812
62,2109.22,1.00095,0.6208,1.25681,0.87192,0.85366,0.90742,0.5278,1.50109,0.75592,1.66595,0.0007922,0.0007922,0.0007922
63,2142.52,1.00391,0.61118,1.25289,0.88625,0.86571,0.90864,0.53639,1.53361,0.73926,1.71873,0.0007724,0.0007724,0.0007724
64,2177.19,1.00364,0.60147,1.25981,0.91951,0.83586,0.91814,0.54177,1.47204,0.70096,1.65342,0.0007526,0.0007526,0.0007526
65,2210.4,0.99576,0.60867,1.25484,0.89787,0.85774,0.91354,0.55813,1.40162,0.69785,1.58963,0.0007328,0.0007328,0.0007328
66,2245.12,0.94665,0.57158,1.23041,0.90525,0.85441,0.92116,0.5293,1.48805,0.68151,1.7142,0.000713,0.000713,0.000713
67,2279.6,1.00809,0.60866,1.26573,0.92105,0.80759,0.89671,0.52224,1.54413,0.74445,1.72499,0.0006932,0.0006932,0.0006932
68,2312.68,0.98291,0.61422,1.23766,0.89063,0.86065,0.90134,0.51176,1.54823,0.75932,1.70924,0.0006734,0.0006734,0.0006734
69,2347.26,0.97588,0.58161,1.23225,0.89018,0.88076,0.90985,0.54848,1.47484,0.73387,1.64497,0.0006536,0.0006536,0.0006536
70,2380.15,0.95427,0.58241,1.23058,0.88791,0.83723,0.89845,0.54764,1.4663,0.72667,1.66411,0.0006338,0.0006338,0.0006338
71,2413.27,0.94814,0.57064,1.21412,0.92185,0.81843,0.89189,0.54483,1.47528,0.71136,1.64387,0.000614,0.000614,0.000614
72,2448.44,0.96391,0.57938,1.23291,0.93346,0.86992,0.92986,0.53709,1.4486,0.65007,1.63724,0.0005942,0.0005942,0.0005942
73,2481.39,0.9699,0.56769,1.22237,0.8983,0.85637,0.90728,0.54139,1.49254,0.67079,1.69268,0.0005744,0.0005744,0.0005744
74,2515.11,0.96389,0.57225,1.23359,0.88802,0.88111,0.91928,0.5408,1.51477,0.68928,1.68789,0.0005546,0.0005546,0.0005546
75,2549.25,0.93845,0.56955,1.21647,0.94132,0.84011,0.91846,0.56921,1.40086,0.63316,1.6095,0.0005348,0.0005348,0.0005348
76,2582.54,0.91683,0.54585,1.20356,0.91248,0.8476,0.9073,0.54031,1.49111,0.68891,1.70529,0.000515,0.000515,0.000515
77,2616.74,0.92252,0.54977,1.20339,0.92309,0.84566,0.91284,0.53842,1.53501,0.67639,1.74802,0.0004952,0.0004952,0.0004952
78,2650.24,0.96113,0.58569,1.22281,0.93326,0.8374,0.91136,0.55618,1.46839,0.68592,1.67604,0.0004754,0.0004754,0.0004754
79,2683.49,0.93828,0.57535,1.21435,0.89795,0.87805,0.92217,0.54342,1.49104,0.65265,1.70618,0.0004556,0.0004556,0.0004556
80,2718.61,0.90693,0.54202,1.19425,0.93196,0.85373,0.91593,0.5428,1.49214,0.67609,1.67073,0.0004358,0.0004358,0.0004358
81,2751.83,0.90339,0.53397,1.19874,0.9139,0.86179,0.91868,0.55471,1.48232,0.66584,1.67038,0.000416,0.000416,0.000416
82,2786.09,0.90753,0.54403,1.21272,0.93459,0.8645,0.92009,0.56834,1.39378,0.61051,1.61343,0.0003962,0.0003962,0.0003962
83,2819.77,0.88893,0.53158,1.19454,0.91567,0.88274,0.9226,0.55744,1.42624,0.64097,1.63591,0.0003764,0.0003764,0.0003764
84,2852.88,0.87637,0.51636,1.18422,0.9324,0.86179,0.91984,0.55025,1.46264,0.64148,1.68348,0.0003566,0.0003566,0.0003566
85,2887.26,0.88026,0.53338,1.18921,0.91843,0.86992,0.93278,0.55765,1.41564,0.63473,1.63334,0.0003368,0.0003368,0.0003368
86,2920.65,0.86141,0.51171,1.17361,0.93036,0.85637,0.91804,0.55567,1.46143,0.66778,1.68791,0.000317,0.000317,0.000317
87,2954.46,0.86764,0.50864,1.17598,0.90757,0.87813,0.91959,0.54055,1.48992,0.66309,1.71854,0.0002972,0.0002972,0.0002972
88,2988.76,0.868,0.5187,1.18862,0.95511,0.86493,0.93403,0.5603,1.46897,0.64211,1.66252,0.0002774,0.0002774,0.0002774
89,3022.06,0.86509,0.51411,1.16972,0.92804,0.87805,0.92614,0.55172,1.49185,0.64645,1.70581,0.0002576,0.0002576,0.0002576
90,3056.82,0.86485,0.51106,1.18322,0.93266,0.87805,0.93533,0.54977,1.51561,0.6414,1.74011,0.0002378,0.0002378,0.0002378
91,3092.21,0.72406,0.39841,1.14566,0.90298,0.84553,0.91597,0.54301,1.53492,0.66093,1.76877,0.000218,0.000218,0.000218
92,3125.87,0.72065,0.37347,1.13462,0.94168,0.84824,0.92433,0.55498,1.49406,0.67372,1.74105,0.0001982,0.0001982,0.0001982
93,3159.12,0.71422,0.37017,1.11459,0.90996,0.86721,0.91938,0.54828,1.50704,0.66487,1.77215,0.0001784,0.0001784,0.0001784
94,3192.22,0.70522,0.36072,1.11933,0.92279,0.8645,0.92004,0.55006,1.50034,0.66241,1.75026,0.0001586,0.0001586,0.0001586
95,3226.34,0.71226,0.36383,1.13105,0.93805,0.86174,0.93382,0.55982,1.48201,0.63487,1.72463,0.0001388,0.0001388,0.0001388
96,3259.6,0.67963,0.34525,1.10531,0.90014,0.87263,0.92508,0.55425,1.51662,0.67313,1.76667,0.000119,0.000119,0.000119
97,3292.3,0.66506,0.33867,1.10203,0.9013,0.86614,0.92695,0.56494,1.48087,0.65388,1.71507,9.92e-05,9.92e-05,9.92e-05
98,3326.83,0.66505,0.34164,1.09132,0.90236,0.8645,0.91918,0.55393,1.50901,0.6719,1.76744,7.94e-05,7.94e-05,7.94e-05
99,3359.04,0.66117,0.33892,1.08806,0.89447,0.87288,0.9212,0.55329,1.49685,0.65722,1.75537,5.96e-05,5.96e-05,5.96e-05
100,3391.72,0.65452,0.34037,1.09793,0.93388,0.8374,0.92038,0.55247,1.50173,0.66868,1.7537,3.98e-05,3.98e-05,3.98e-05
